title,price,location,ambientes,banos,metros_cuadrados,link
Córdoba 2091 - Dpto De 2 Dormitorios Externo.,370001.0,"Córdoba 2050, Centro, Rosario, Santa Fe",3,1,50.0,https://departamento.mercadolibre.com.ar/MLA-1940493460-cordoba-2091-dpto-de-2-dormitorios-externo-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
"Alquiler- Departamento - 2 Ambientes En Cinco Esquinas, Rosa",180000.0,"ITUZAINGO Al 4100, Rosario, Santa Fe",2,1,42.0,https://departamento.mercadolibre.com.ar/MLA-1457591025-alquiler-departamento-2-ambientes-en-cinco-esquinas-rosa-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Departamento 1 Ambiente Con Cochera Falucho Y Gorriti,210000.0,"FALUCHO 389, Centro, Rosario, Santa Fe",1,1,30.0,https://departamento.mercadolibre.com.ar/MLA-1456420333-departamento-1-ambiente-con-cochera-falucho-y-gorriti-_JM#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Urquiza 2032 - Dpto De 1 Dormitorio Externo.,180000.0,"Urquiza 2050, Centro, Rosario, Santa Fe",2,1,35.0,https://departamento.mercadolibre.com.ar/MLA-1456876821-urquiza-2032-dpto-de-1-dormitorio-externo-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Ricchieri 865 - Dpto De 1 Dormitorio.,200001.0,"General Ricchieri 850, Centro, Rosario, Santa Fe",2,1,29.0,https://departamento.mercadolibre.com.ar/MLA-1456978415-ricchieri-865-dpto-de-1-dormitorio-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
"Alquiler 2 Dormitorio Al Frente - Ituzaingo 630, Rosario",330000.0,"Ituzaingo 630, Abasto, Rosario, Santa Fe",3,1,63.0,https://departamento.mercadolibre.com.ar/MLA-1943835978-alquiler-2-dormitorio-al-frente-ituzaingo-630-rosario-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Catamarca 2267 - Dpto De 1 Dormitorio Externo.,300001.0,"Catamarca 2250, Centro, Rosario, Santa Fe",2,1,40.0,https://departamento.mercadolibre.com.ar/MLA-1945855824-catamarca-2267-dpto-de-1-dormitorio-externo-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Condominios Del Alto - Alquiler Departamento 3 Dormitorios Con Cochera En Rosario,1400000.0,"Condominio Alto 1, Rosario, Santa Fe",4,2,125.0,https://departamento.mercadolibre.com.ar/MLA-1942377838-condominios-del-alto-alquiler-departamento-3-dormitorios-con-cochera-en-rosario-_JM#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Departamento Premium Vista Franca Al Rio 2 Dormitorios 2 Cocheras,1800.0,"Av Colombres 1300, Alberdi, Rosario, Santa Fe",5,3,153.0,https://departamento.mercadolibre.com.ar/MLA-1457686675-departamento-premium-vista-franca-al-rio-2-dormitorios-2-cocheras-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Departamento - Rosario,400000.0,"Mitre Al 200. Contrafrente Luminoso., Rosario, Santa Fe",2,1,45.0,https://departamento.mercadolibre.com.ar/MLA-1940525854-departamento-rosario-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
